team_name,coefficient
Ohio State,156.0
Alabama,154.0
Georgia,136.0
Clemson,135.0
Notre Dame,128.0
Michigan,116.0
Oregon,114.0
Oklahoma,111.0
Boise State,109.0
Penn State,109.0
LSU,104.0
Texas,103.0
Wisconsin,103.0
Iowa,103.0
USC,97.0
Washington,97.0
Utah,96.0
TCU,96.0
Memphis,94.0
BYU,92.0
Minnesota,92.0
Ole Miss,91.0
Oklahoma State,90.0
Houston,88.0
Miami (FL),87.0
Toledo,86.0
San Diego State,86.0
Texas A&M,85.0
NC State,85.0
Louisville,85.0
Western Kentucky,84.0
Air Force,84.0
Cincinnati,84.0
Tennessee,83.0
Kansas State,83.0
Navy,82.0
Ohio,81.0
Florida,80.0
Florida State,78.0
Michigan State,78.0
UCF,76.0
Fresno State,76.0
Baylor,76.0
Missouri,76.0
Duke,76.0
Western Michigan,75.0
SMU,75.0
Washington State,74.0
Pittsburgh,74.0
West Virginia,72.0
Northwestern,72.0
Stanford,72.0
Arizona State,72.0
UCLA,71.0
Marshall,71.0
Mississippi State,71.0
Army,71.0
Kentucky,71.0
Louisiana,71.0
Virginia Tech,71.0
Troy,70.0
Utah State,70.0
Iowa State,70.0
Auburn,69.0
Indiana,69.0
Wake Forest,69.0
Louisiana Tech,68.0
Tulane,67.0
UTSA,67.0
Northern Illinois,67.0
Texas Tech,66.0
Georgia Tech,65.0
South Carolina,63.0
Miami (OH),63.0
North Carolina,63.0
Wyoming,61.0
Nebraska,61.0
South Florida,60.0
California,59.0
Buffalo,59.0
Illinois,59.0
Arizona,58.0
Virginia,58.0
Hawai'i,57.0
Nevada,57.0
Central Michigan,57.0
UAB,56.0
Arkansas,55.0
North Texas,55.0
Boston College,55.0
Georgia Southern,54.0
Temple,53.0
Maryland,53.0
East Carolina,53.0
Syracuse,53.0
Colorado State,52.0
Arkansas State,51.0
Tulsa,50.0
UNLV,50.0
Eastern Michigan,50.0
Bowling Green,48.0
Colorado,48.0
Georgia State,48.0
Middle Tennessee,48.0
San Jose State,48.0
Liberty,47.0
Purdue,46.0
Southern Miss,46.0
Coastal Carolina,45.0
Rutgers,44.0
South Alabama,44.0
Vanderbilt,43.0
New Mexico,43.0
Oregon State,43.0
Old Dominion,42.0
Ball State,40.0
Rice,38.0
Texas State,35.0
James Madison,35.0
New Mexico State,34.0
Akron,33.0
Kansas,31.0
Kent State,30.0
UConn,27.0
UTEP,27.0
Charlotte,25.0
Jacksonville State,25.0
Sam Houston,14.0
Kennesaw State,8.0
Delaware,6.0
Missouri State,5.0
